Angle (deg),Sensitivity (nm/uM),Concentration (uM)
40,0.0800351577980317,2.960076669048684
40,0.05377342304058313,3.572198739936128
40,0.03713246531200453,4.310903150256001
40,0.025846421175943993,5.202366196237842
40,0.017337935804655032,6.278177239530645
40,0.012676725177180501,7.5764580892949205
40,0.008403581361135627,9.14321386427342
50,9605.225102584494,0.0011033963203196644
50,9237.143401722798,0.0013315705590702866
50,8817.63056446826,0.0016069295511780177
50,8349.35105788605,0.001939230756387491
50,7818.50769572146,0.002340249405309863
50,7240.63791609803,0.0028241957595885087
50,6613.325125080364,0.0034082186583962097
50,5949.434533067603,0.004113013194642191
50,5265.076100643829,0.004963554054146652
50,4574.323015547065,0.005989980503959684
50,3900.2568976176226,0.007228664389751605
50,3259.034578283205,0.008723498987203822
50,2669.409388494928,0.010527454378382206
50,2142.317922052834,0.012704454468497921
50,1686.6296372887878,0.015331642155920724
50,1303.5869416442417,0.018502112922680822
50,990.6746903662468,0.02232821371136904
50,741.3441103487098,0.026945523985502304
50,547.6693014451772,0.032517660043874685
50,399.3790987043304,0.039242072831759525
50,288.56777183693026,0.04735704469679993
50,206.54272420542986,0.057150133022525904
50,146.92138345680834,0.06896835994314293
50,103.77690346366704,0.08323050921634917
50,72.92775777618019,0.100441965998954
50,51.051655407313504,0.12121262537888333
50,35.62681720943832,0.14627850425980826
50,24.81050254851583,0.17652782242446535
50,17.192231605064023,0.21303247696993108
50,11.931207967602006,0.25708602542448
50,8.238924378150951,0.3102495234934777
50,5.685874372036864,0.37440684171378746
50,3.9347425750508838,0.4518314211852128
